Date,^GSPC,GE,IBM
1962-01-02,70.95999908447266,0.0017885126871988177,0.6394312977790833
1962-01-03,71.12999725341797,0.001770568429492414,0.6450210213661194
1962-01-04,70.63999938964844,0.00174963369499892,0.6385928988456726
1962-01-05,69.66000366210938,0.0017047697911038995,0.6260168552398682
1962-01-08,69.12000274658203,0.0017017796635627747,0.6142787337303162
1962-01-09,69.1500015258789,0.0017107526073232293,0.621545135974884
1962-01-10,68.95999908447266,0.0017197232227772474,0.6226630210876465
1962-01-11,69.37000274658203,0.001722714863717556,0.6293700933456421
1962-01-12,69.61000061035156,0.0016987904673442245,0.6304882764816284
1962-01-15,69.47000122070312,0.001716734142974019,0.6332829594612122
1962-01-16,69.06999969482422,0.0017316886223852634,0.6265758872032166
1962-01-17,68.31999969482422,0.0016928064869716763,0.6165145039558411
1962-01-18,68.38999938964844,0.0017107526073232293,0.6181913614273071
1962-01-19,68.75,0.001725704874843359,0.6187500953674316
1962-01-22,68.80999755859375,0.0017316886223852634,0.6176324486732483
1962-01-23,68.29000091552734,0.0016987904673442245,0.6114842891693115
1962-01-24,68.4000015258789,0.0017316886223852634,0.6148380041122437
1962-01-25,68.3499984741211,0.0017137426184490323,0.608130693435669
1962-01-26,68.12999725341797,0.0017077617812901735,0.6050560474395752
1962-01-29,67.9000015258789,0.0017107526073232293,0.5947158336639404
1962-01-30,68.16999816894531,0.001740660984069109,0.5871700644493103
1962-01-31,68.83999633789062,0.0017944946885108948,0.6058949828147888
1962-02-01,69.26000213623047,0.001782531850039959,0.6198683381080627
1962-02-02,69.80999755859375,0.001791505143046379,0.6237806677818298
1962-02-05,69.87999725341797,0.0017586053581908345,0.6159559488296509
1962-02-06,69.95999908447266,0.0017765510128811002,0.61659836769104
1962-02-07,70.41999816894531,0.0017944946885108948,0.6171574592590332
1962-02-08,70.58000183105469,0.001806458574719727,0.617716372013092
1962-02-09,70.4800033569336,0.001797485165297985,0.6221889853477478
1962-02-12,70.45999908447266,0.001797485165297985,0.6227480173110962
1962-02-13,70.44999694824219,0.0018184208311140537,0.6126854419708252
1962-02-14,70.41999816894531,0.0018333762418478727,0.6115676164627075
1962-02-15,70.73999786376953,0.0018602930940687656,0.6093311905860901
1962-02-16,70.58999633789062,0.0018483295571058989,0.608772873878479
1962-02-19,70.41000366210938,0.0018333762418478727,0.6026229858398438
1962-02-20,70.66000366210938,0.0018303852993994951,0.6029027700424194
1962-02-21,70.31999969482422,0.0018244031816720963,0.5984306335449219
1962-02-23,70.16000366210938,0.001806458574719727,0.6003872156143188
1962-02-26,69.76000213623047,0.001782531850039959,0.5981510281562805
1962-02-27,69.88999938964844,0.0017944946885108948,0.5992690920829773
1962-02-28,69.95999908447266,0.0017855230253189802,0.6003872156143188
1962-03-01,70.19999694824219,0.0018184208311140537,0.6076545715332031
1962-03-02,70.16000366210938,0.0018303852993994951,0.6126854419708252
1962-03-05,70.01000213623047,0.0018333762418478727,0.6104487180709839
1962-03-06,69.77999877929688,0.001806458574719727,0.6110087037086487
1962-03-07,69.69000244140625,0.0018184208311140537,0.6129653453826904
1962-03-08,70.19000244140625,0.0018453382654115558,0.6143628358840942
1962-03-09,70.41999816894531,0.001872256863862276,0.61827552318573
1962-03-12,70.4000015258789,0.0018752480391412973,0.617716372013092
1962-03-13,70.5999984741211,0.0018782623810693622,0.6171574592590332
1962-03-14,70.91000366210938,0.0018692325102165341,0.6160393953323364
1962-03-15,71.05999755859375,0.0018752521136775613,0.6149213314056396
1962-03-16,70.94000244140625,0.001887293765321374,0.617716372013092
1962-03-19,70.8499984741211,0.0018662220099940896,0.619394063949585
1962-03-20,70.66000366210938,0.0018662220099940896,0.6154808402061462
1962-03-21,70.51000213623047,0.0018632120918482542,0.6160393953323364
1962-03-22,70.4000015258789,0.001854181638918817,0.6093311905860901
1962-03-23,70.44999694824219,0.0018782623810693622,0.6115676164627075
1962-03-26,69.88999938964844,0.0018481623847037554,0.6112876534461975
1962-03-27,69.69999694824219,0.0018632120918482542,0.5998279452323914
1962-03-28,70.04000091552734,0.0018752521136775613,0.6031819581985474
1962-03-29,70.01000213623047,0.0018722419627010822,0.60150545835495
1962-03-30,69.55000305175781,0.0018511713715270162,0.595635175704956
1962-04-02,69.37000274658203,0.0018421417335048318,0.5875295400619507
1962-04-03,68.80999755859375,0.0018210721900686622,0.5729947686195374
1962-04-04,68.48999786376953,0.0018240828067064285,0.5704792737960815
1962-04-05,68.91000366210938,0.001839132746681571,0.5824984908103943
1962-04-06,68.83999633789062,0.0018270915606990457,0.5819392800331116
1962-04-09,68.30999755859375,0.0018240828067064285,0.5824984908103943
1962-04-10,68.55999755859375,0.001796990749426186,0.5847342610359192
1962-04-11,68.41000366210938,0.0017638810677453876,0.5769078731536865
1962-04-12,67.9000015258789,0.0017548511968925595,0.5707589387893677
1962-04-13,67.9000015258789,0.0018000007839873433,0.5791441798210144
1962-04-16,67.5999984741211,0.0017849504947662354,0.5785853266716003
1962-04-17,67.9000015258789,0.0017879619263112545,0.5813802480697632
1962-04-18,68.2699966430664,0.0017819417407736182,0.5802625417709351
1962-04-19,68.58999633789062,0.0017849504947662354,0.5802625417709351
1962-04-23,68.52999877929688,0.0017759214388206601,0.5797034502029419
1962-04-24,68.45999908447266,0.0017638810677453876,0.5791441798210144
1962-04-25,67.70999908447266,0.0017398016061633825,0.5729947686195374
1962-04-26,67.05000305175781,0.0017398016061633825,0.5584608912467957
1962-04-27,66.30000305175781,0.0017097010277211666,0.5428080558776855
